id,CVE,CVSS
0,CVE-1999-0144,2.1
1,CVE-1999-0250,10.0
2,CVE-1999-0257,5.0
3,CVE-1999-0285,10.0
4,CVE-1999-0453,5.0
5,CVE-1999-0488,7.5
6,CVE-1999-0492,10.0
7,CVE-1999-0523,0.0
8,CVE-1999-0843,5.0
9,CVE-1999-1022,6.2
10,CVE-1999-1466,7.5
11,CVE-2000-0122,5.0
12,CVE-2000-0160,7.6
13,CVE-2000-0256,7.5
14,CVE-2000-0544,5.0
15,CVE-2000-1240,5.0
16,CVE-2001-0029,10.0
17,CVE-2001-0934,7.5
18,CVE-2001-1082,5.0
19,CVE-2001-1275,7.2
20,CVE-2001-1329,7.2
21,CVE-2002-0180,7.5
22,CVE-2002-0563,5.0
23,CVE-2002-0880,5.0
24,CVE-2003-1316,5.0
25,CVE-2004-0769,10.0
26,CVE-2004-0790,5.0
27,CVE-2004-0791,5.0
28,CVE-2004-0928,5.0
29,CVE-2004-1060,5.0
30,CVE-2004-2222,5.0
31,CVE-2004-2383,5.1
32,CVE-2005-0065,10.0
33,CVE-2005-0066,5.0
34,CVE-2005-0067,5.0
35,CVE-2005-0068,5.0
36,CVE-2005-0563,4.3
37,CVE-2005-0679,7.5
38,CVE-2005-1500,7.5
39,CVE-2005-3266,N/A
40,CVE-2005-3310,3.5
41,CVE-2005-3347,6.8
42,CVE-2005-3477,4.3
43,CVE-2005-3774,5.0
44,CVE-2005-3921,2.6
45,CVE-2005-3924,7.5
46,CVE-2005-3939,7.5
47,CVE-2005-3943,7.5
48,CVE-2005-3975,4.0
49,CVE-2005-4258,7.8
50,CVE-2005-4382,7.5
51,CVE-2005-4485,4.3
52,CVE-2005-4549,4.3
53,CVE-2005-4568,7.5
54,CVE-2005-4634,7.5
55,CVE-2005-4667,3.7
56,CVE-2005-4702,6.4
57,CVE-2005-4802,4.6
58,CVE-2005-4900,5.9
59,CVE-2006-0235,7.5
60,CVE-2006-0245,4.3
61,CVE-2006-0263,10.0
62,CVE-2006-0348,5.0
63,CVE-2006-0448,7.5
64,CVE-2006-0586,7.5
65,CVE-2006-0612,4.6
66,CVE-2006-0668,7.5
67,CVE-2006-0732,6.4
68,CVE-2006-0759,7.5
69,CVE-2006-0794,5.0
70,CVE-2006-0880,4.3
71,CVE-2006-0891,5.0
72,CVE-2006-0918,7.5
73,CVE-2006-0922,5.0
74,CVE-2006-0928,5.0
75,CVE-2006-0929,4.0
76,CVE-2006-0936,6.5
77,CVE-2006-0976,5.0
78,CVE-2006-1007,7.5
79,CVE-2006-1008,5.8
80,CVE-2006-1011,2.1
81,CVE-2006-1104,7.5
82,CVE-2006-1157,4.3
83,CVE-2006-1205,4.3
84,CVE-2006-1271,7.5
85,CVE-2006-1278,6.8
86,CVE-2006-1290,4.3
87,CVE-2006-1353,7.5
88,CVE-2006-1542,3.7
89,CVE-2006-1569,5.1
90,CVE-2006-1603,4.3
91,CVE-2006-1613,5.0
92,CVE-2006-1644,5.0
93,CVE-2006-1652,9.0
94,CVE-2006-1697,4.3
95,CVE-2006-1698,4.3
96,CVE-2006-1706,7.5
97,CVE-2006-1741,4.3
98,CVE-2006-1747,7.5
99,CVE-2006-1760,4.3
100,CVE-2006-1767,7.5
101,CVE-2006-1782,2.1
102,CVE-2006-1794,7.6
103,CVE-2006-1900,7.6
104,CVE-2006-1910,7.5
105,CVE-2006-1937,5.0
106,CVE-2006-2005,7.5
107,CVE-2006-2132,6.4
